Sample,Group,Batch,Individual
AD44_C1_INSOLUBLE_03,AD,C1,AD44_
AD44_C1_INSOLUBLE_04,AD,C1,AD44_
AD45_C1_INSOLUBLE_01,AD,C1,AD45_
AD45_C1_INSOLUBLE_02,AD,C1,AD45_
AD46_C1_INSOLUBLE_01,AD,C1,AD46_
AD46_C1_INSOLUBLE_02,AD,C1,AD46_
AD46_C1_INSOLUBLE_03,AD,C1,AD46_
AD46_C2_INSOLUBLE_01,AD,C2,AD46_
AD47_C1_INSOLUBLE_01,AD,C1,AD47_
AD48_C2_INSOLUBLE_01,AD,C2,AD48_
AD49_C2_INSOLUBLE_01,AD,C2,AD49_
CTR01_C1_INSOLUBLE_01,CTR,C1,CTR01
CTR02_C1_INSOLUBLE_01,CTR,C1,CTR02
CTR03_C1_INSOLUBLE_01,CTR,C1,CTR03
CTR04_C1_INSOLUBLE_01,CTR,C1,CTR04
CTR05_C2_INSOLUBLE_01,CTR,C2,CTR05
CTR06_C2_INSOLUBLE_01,CTR,C2,CTR06
CTR07_C1_INSOLUBLE_01,CTR,C1,CTR07
CTR08_C1_INSOLUBLE_01,CTR,C1,CTR08
CTR08_C2_INSOLUBLE_01,CTR,C2,CTR08
CTR09_C2_INSOLUBLE_01,CTR,C2,CTR09
CTR10_C1_INSOLUBLE_01,CTR,C1,CTR10
CTR10_C2_INSOLUBLE_01,CTR,C2,CTR10
CTR11_C2_INSOLUBLE_01,CTR,C2,CTR11
CTR12_C2_INSOLUBLE_01,CTR,C2,CTR12
CTR13_C2_INSOLUBLE_01,CTR,C2,CTR13
CTR14_C2_INSOLUBLE_01,CTR,C2,CTR14
CTR15_C2_INSOLUBLE_01,CTR,C2,CTR15
CTR16_C2_INSOLUBLE_01,CTR,C2,CTR16
CTR17_C2_INSOLUBLE_01,CTR,C2,CTR17
CTR18_C2_INSOLUBLE_01,CTR,C2,CTR18
CTR19_C1_INSOLUBLE_01,CTR,C1,CTR19
CTR20_C1_INSOLUBLE_01,CTR,C1,CTR20
CTR21_C2_INSOLUBLE_01,CTR,C2,CTR21
CTR22_C2_INSOLUBLE_01,CTR,C2,CTR22
CTR23_C2_INSOLUBLE_01,CTR,C2,CTR23
CTR24_C1_INSOLUBLE_01,CTR,C1,CTR24
CTR25_C1_INSOLUBLE_01,CTR,C1,CTR25
CTR26_C2_INSOLUBLE_01,CTR,C2,CTR26
CTR27_C1_INSOLUBLE_01,CTR,C1,CTR27
CTR28_C1_INSOLUBLE_01,CTR,C1,CTR28
CTR28_C1_INSOLUBLE_02,CTR,C1,CTR28
CTR28_C2_INSOLUBLE_01,CTR,C2,CTR28
CTR29_C1_INSOLUBLE_01,CTR,C1,CTR29
CTR29_C1_INSOLUBLE_02,CTR,C1,CTR29
CTR29_C1_INSOLUBLE_03,CTR,C1,CTR29
CTR30_C1_INSOLUBLE_01,CTR,C1,CTR30
CTR30_C1_INSOLUBLE_02,CTR,C1,CTR30
CTR30_C2_INSOLUBLE_01,CTR,C2,CTR30
CTR31_C1_INSOLUBLE_01,CTR,C1,CTR31
CTR31_C2_INSOLUBLE_01,CTR,C2,CTR31
CTR32_C1_INSOLUBLE_01,CTR,C1,CTR32
CTR32_C2_INSOLUBLE_01,CTR,C2,CTR32
CTR33_C1_INSOLUBLE_01,CTR,C1,CTR33
CTR34_C1_INSOLUBLE_01,CTR,C1,CTR34
CTR34_C2_INSOLUBLE_01,CTR,C2,CTR34
CTR35_C1_INSOLUBLE_01,CTR,C1,CTR35
CTR36_C1_INSOLUBLE_01,CTR,C1,CTR36
CTR36_C1_INSOLUBLE_02,CTR,C1,CTR36
CTR37_C1_INSOLUBLE_01,CTR,C1,CTR37
CTR38_C1_INSOLUBLE_01,CTR,C1,CTR38
CTR39_C1_INSOLUBLE_01,CTR,C1,CTR39
CTR40_C1_INSOLUBLE_01,CTR,C1,CTR40
CTR40_C1_INSOLUBLE_02,CTR,C1,CTR40
CTR40_C1_INSOLUBLE_03,CTR,C1,CTR40
CTR41_C1_INSOLUBLE_01,CTR,C1,CTR41
CTR41_C1_INSOLUBLE_02,CTR,C1,CTR41
CTR41_C1_INSOLUBLE_03,CTR,C1,CTR41
CTR42_C1_INSOLUBLE_01,CTR,C1,CTR42
CTR42_C1_INSOLUBLE_02,CTR,C1,CTR42
CTR42_C1_INSOLUBLE_03,CTR,C1,CTR42
CTR43_C2_INSOLUBLE_01,CTR,C2,CTR43
CTR44_C1_INSOLUBLE_01,CTR,C1,CTR44
